,pair_age,init_market_cap,scams,funding_time,ape_score,liquidity,market_cap,contract_age,sell,airdrops,time_of_day,worth,buy,max_transmit,honeypot,safu_score,wallet,amount,buy_tax,sell_tax,owner_quant,owner_type_INDIVIDUAL,owner_type_RENOUNCED,owner_type_UNKNOWN,source_01121994.eth,source_Binance,source_Bitget,source_Bybit,source_Coinbase,source_FixedFloat,source_Gate.io,source_INDIVIDUAL,source_Kraken,source_Kucoin,source_Mexc,source_SideShift,source_cemedeul.eth,source_tsunamitreasury.eth,holders_qty,holders_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,status_100K,status_10K,status_50K,status_Above,printed
47,24,87943.0,0.0,17280,24,41.0,129517,5767,684.0,2.0,73332.0,3030,,,106,95,3670,1405,0,0,33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,81.0,0.0,0.0,2.0,0.1,6.0,2.7,0.0,0.0,19,0.0,0.0,0.0,1.0,False
48,95050,18373.0,1.0,96480,21,10.3,55253,95052,129.0,4.0,74563.0,0,147.0,,289,100,8500,372,0,0,137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,266.8,7.0,2.1,0.0,0.0,7.0,1.4,3.0,1.3,47,1.0,0.0,0.0,0.0,False
49,27,137646.0,0.6798679867986799,2880,19,16.0,111372,47,448.0,2.0,74338.0,27425,,1.63,219,90,19795,932,2,2,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,362.1,1.0,0.3,19.0,3.1,3.0,1.0,4.0,3.8,195,0.0,0.0,0.0,1.0,False
50,48,2927.0,0.0,3,12,13.6,472967,22,387.0,1.0,76125.0,1445,,,215,100,3121,373,1,1,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,285.0,180.1,1.0,0.4,2.0,0.7,6.0,3.5,3.0,2.2,3,0.0,0.0,0.0,1.0,True
51,7223,13756.0,0.32786885245901637,8640,37,3.7,16172,7223,12.0,1.0,78355.0,5983,17.0,0.18,99,75,5552,373,2,2.4,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,112.4,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.9,394,0.0,0.0,1.0,0.0,True
52,0,,0.5625,1440,17,2.0,3723,3,0.0,0.0,78701.0,827,0.0,0.04,,42,8492,74,0,0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,12,0.0,1.0,0.0,0.0,True
53,3,,0.5674157303370787,11,18,2.4,12196,7,2.0,1.0,78791.0,2943,38.0,0.14,34,100,6421,93,0,5.6,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,46.7,0.0,0.0,6.0,9.6,0.0,0.0,0.0,0.0,17,0.0,0.0,1.0,0.0,False
54,1,3723.0,0.5625,1440,79,2.9,7826,4,1.0,0.0,78815.0,827,50.0,0.07,10,45,4384,243,0,0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,58.0,0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,29,0.0,1.0,0.0,0.0,True
55,1,,0.5642458100558659,16,37,1.7,6110,12,0.0,1.0,78998.0,591,15.0,0.07,15,75,5869,121,0,4,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.3,0.0,0.0,4.0,5.7,1.0,1.2,0.0,0.0,395,0.0,1.0,0.0,0.0,False
56,7223,13756.0,0.32786885245901637,8640,29,5.9,41833,7223,20.0,1.0,78379.0,5983,33.0,0.34,101,99,4712,838,2,4.8,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,112.5,0.0,0.0,2.0,3.0,2.0,2.6,1.0,1.9,75,0.0,0.0,1.0,0.0,False
57,8,3723.0,0.625,1440,10,4.8,21238,11,29.0,0.0,79206.0,3637,134.0,,69,25,8561,74,0,99,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,110.2,0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,12,0.0,0.0,1.0,0.0,True
58,413302,,0.6625,413280,19,8.9,121423,413302,24.0,209.0,79673.0,1086,,,45,90,20041,746,4,9.5,1292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,3631.2,7.0,125.5,1.0,13.5,15.0,1.8,2.0,2.6,194,0.0,0.0,0.0,1.0,False
59,0,,0.48717948717948717,19,26,1.4,4633,18,0.0,1.0,79895.0,239,41.0,0.02,29,86,3234,298,20,19.9,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,43,0.0,1.0,0.0,0.0,False
60,0,4633.0,0.48717948717948717,19,33,1.7,6866,18,0.0,1.0,79907.0,239,59.0,0.02,41,56,3128,83,0,2.3,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,32.8,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,91,0.0,1.0,0.0,0.0,False
61,1,4633.0,0.48717948717948717,20,29,2.1,10723,19,0.0,1.0,79928.0,239,69.0,0.04,69,99,4549,64,0,2.9,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,44.9,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,75,0.0,0.0,1.0,0.0,False
62,1,4633.0,0.48717948717948717,20,29,2.7,17088,19,0.0,1.0,79953.0,239,90.0,0.06,75,80,11610,102,0,3.7,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,123.2,0.0,0.0,24.0,11.2,0.0,0.0,1.0,0.6,243,0.0,0.0,1.0,0.0,False
