cleaned
mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,source,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
10723,2.1,69,0,0.48717948717948700,239.0,19,1,20,Binance,1.0,64.0,4549,29,99,0,2.9,INDIVIDUAL,4,60.0,44.9,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,75,FALSE
17088,2.7,90,0,0.48717948717948700,239.0,19,1,20,Binance,1.0,102.0,11610,29,80,0,3.7,INDIVIDUAL,4,86.0,123.2,0.0,0.0,24.0,11.2,0.0,0.0,1.0,0.6,243,FALSE
613459,13.5,,187,0.7857142857142860,0.0,7202,7202,7200,Kucoin,3.0,1882.0,4093,15,88,3,3,RENOUNCED,18,138.0,87.1,0.0,0.0,1.0,0.4,7.0,27.7,0.0,0.0,17,TRUE
914554,19.8,,648,0.0,1445.0,56,24,3,Kucoin,1.0,933.0,7052,24,96,1,1,RENOUNCED,21,437.0,110.4,1.0,0.4,2.0,0.7,6.0,3.1,2.0,1.4,23,TRUE
307328,9.7,,246,0.7857142857142860,0.0,7204,7204,7200,Kucoin,3.0,1866.0,5617,19,100,3,3,RENOUNCED,18,165.0,91.2,0.0,0.0,1.0,0.4,8.0,38.3,0.0,0.0,5,FALSE
25432,3.3,106,0,0.48717948717948700,239.0,20,1,21,Binance,1.0,37.0,6634,14,90,0,3.3,INDIVIDUAL,4,91.0,115.4,0.0,0.0,24.0,11.2,0.0,0.0,1.0,0.6,31,FALSE
74824,13.2,762,511,0.6798679867986800,20604.0,54,34,2880,INDIVIDUAL,2.0,169.0,18472,8,100,2,2,RENOUNCED,36,218.0,304.6,1.0,0.3,19.0,3.1,2.0,1.0,3.0,2.6,9,FALSE
39662,4.2,208,78,0.48717948717948700,4195.0,30,11,31,Binance,1.0,149.0,6156,42,93,0,4.7,INDIVIDUAL,6,172.0,117.4,0.0,0.0,14.0,6.5,1.0,0.1,1.0,0.6,14,FALSE
44024,11.6,14,3,0.65,13.0,537138,537138,537120,Binance,1.0,373.0,5694,37,75,0,0,RENOUNCED,113,169.0,440.7,0.0,0.0,0.0,0.0,6.0,3.7,3.0,2.7,393,FALSE
61091,5.2,257,114,0.48717948717948700,9078.0,33,14,34,Binance,1.0,0.0,5548,39,100,0,3.8,RENOUNCED,8,192.0,233.4,0.0,0.0,14.0,6.3,1.0,0.1,3.0,2.6,37,FALSE
90619,6.3,283,134,0.48717948717948700,9110.0,34,16,35,Binance,1.0,373.0,6465,33,85,0,0,RENOUNCED,9,204.0,247.8,0.0,0.0,14.0,6.3,2.0,0.9,3.0,2.6,13,FALSE
228449,14.1,,64,0.0,750.0,56,56,4,Kraken,2.0,933.0,28853,14,90,1,2,INDIVIDUAL,8,103.0,75.4,0.0,0.0,19.0,23.2,19.0,23.2,0.0,0.0,21,FALSE
